Image URL / path,Times referenced,Pages referencing it
http://itteacher.co.za/resources/img/wex_view_icons.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_list.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/file_list.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_menu.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_file.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_home.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_share.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_view.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/wex_sidebar.jpg,1,im_file_management.php
https://learningopportunities.co.za/resources/img/illustrations/wex_files.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/favourites.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/file_info.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/windows_explorer.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/finder.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/extensions.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/compression.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/text.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/office_docs.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/graphics_media.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/fonts.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/source_code.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/executables.jpg,1,im_file_management.php
http://itteacher.co.za/resources/img/export_import.jpg,1,im_file_management.php
https://learningopportunities.co.za/resources/img/illustrations/5_information_management_prequiz.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/number_systems2.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/ascii_unicode.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/bits_bytes.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/primitives3.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/data_storage.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/file_management.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/5_information_management_pracquiz.jpg,1,im_menu.html
https://learningopportunities.co.za/resources/img/illustrations/5_information_management_finquiz.jpg,1,im_menu.html
http://itteacher.co.za/resources/img/number_systems.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/decimal.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/binary.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/binary_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/binary_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/binary_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-b_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-b_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-b_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/hex.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/counting_hex.gif,1,im_number_systems.php
http://itteacher.co.za/resources/img/hex_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/hex_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/hex_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-h_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-h_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-h_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/octal.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/oct_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/oct_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/oct_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-o_step1.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-o_step2.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/d-o_step3.jpg,1,im_number_systems.php
http://itteacher.co.za/resources/img/memory.jpg,1,im_primitives.php
http://itteacher.co.za/resources/img/data_primitives.jpg,1,im_primitives.php
https://learningopportunities.co.za/resources/img/illustrations/content.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/drilldown.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/glossary.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/faq.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/quizzes.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/videos.jpg,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/cebo_point_right.png,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/early_bird.png,1,index.html
https://learningopportunities.co.za/resources/img/illustrations/6_social_implications_prequiz.jpg,1,si_contents.html
https://learningopportunities.co.za/resources/img/illustrations/digital_design_s.jpg,1,si_contents.html
https://learningopportunities.co.za/resources/img/illustrations/licenses.jpg,1,si_contents.html
https://learningopportunities.co.za/resources/img/illustrations/plagiarism_s.jpg,1,si_contents.html
https://learningopportunities.co.za/resources/img/illustrations/green_comp.jpg,1,si_contents.html
https://learningopportunities.co.za/resources/img/illustrations/malware.jpg,1,si_contents.html
